MovieID,Genres,Title,Rating,image_link
1,"['Animation', ""Children's"", 'Comedy']",Toy Story (1995),2.5,https://liangfgithub.github.io/MovieImages/1.jpg
3114,"['Animation', ""Children's"", 'Comedy']",Toy Story 2 (1999),2.0,https://liangfgithub.github.io/MovieImages/3114.jpg
2987,"['Adventure', 'Animation', 'Film-Noir']",Who Framed Roger Rabbit? (1988),1.9,https://liangfgithub.github.io/MovieImages/2987.jpg
2355,"['Animation', ""Children's"", 'Comedy']","Bug's Life, A (1998)",1.9,https://liangfgithub.github.io/MovieImages/2355.jpg
3751,"['Animation', ""Children's"", 'Comedy']",Chicken Run (2000),1.5,https://liangfgithub.github.io/MovieImages/3751.jpg
588,"['Animation', ""Children's"", 'Comedy', 'Musical']",Aladdin (1992),1.5,https://liangfgithub.github.io/MovieImages/588.jpg
2700,"['Animation', 'Comedy']","South Park: Bigger, Longer and Uncut (1999)",1.4,https://liangfgithub.github.io/MovieImages/2700.jpg
364,"['Animation', ""Children's"", 'Musical']","Lion King, The (1994)",1.3,https://liangfgithub.github.io/MovieImages/364.jpg
595,"['Animation', ""Children's"", 'Musical']",Beauty and the Beast (1991),1.2,https://liangfgithub.github.io/MovieImages/595.jpg
1148,"['Animation', 'Comedy']","Wrong Trousers, The (1993)",1.2,https://liangfgithub.github.io/MovieImages/1148.jpg
2081,"['Animation', ""Children's"", 'Comedy', 'Musical', 'Romance']","Little Mermaid, The (1989)",1.1,https://liangfgithub.github.io/MovieImages/2081.jpg
1282,"['Animation', ""Children's"", 'Musical']",Fantasia (1940),1.1,https://liangfgithub.github.io/MovieImages/1282.jpg
2080,"['Animation', ""Children's"", 'Comedy', 'Musical', 'Romance']",Lady and the Tramp (1955),1.0,https://liangfgithub.github.io/MovieImages/2080.jpg
745,"['Animation', 'Comedy', 'Thriller']","Close Shave, A (1995)",0.9,https://liangfgithub.github.io/MovieImages/745.jpg
594,"['Animation', ""Children's"", 'Musical']",Snow White and the Seven Dwarfs (1937),0.9,https://liangfgithub.github.io/MovieImages/594.jpg
2761,"['Animation', ""Children's""]","Iron Giant, The (1999)",0.8,https://liangfgithub.github.io/MovieImages/2761.jpg
2078,"['Animation', ""Children's"", 'Comedy', 'Musical']","Jungle Book, The (1967)",0.7,https://liangfgithub.github.io/MovieImages/2078.jpg
2294,"['Animation', ""Children's""]",Antz (1998),0.7,https://liangfgithub.github.io/MovieImages/2294.jpg
2018,"['Animation', ""Children's""]",Bambi (1942),0.6,https://liangfgithub.github.io/MovieImages/2018.jpg
610,"['Action', 'Adventure', 'Animation', 'Horror', 'Sci-Fi']",Heavy Metal (1981),0.6,https://liangfgithub.github.io/MovieImages/610.jpg
